phase	n_tests	n_sig	n_sig_positive	n_sig_negative	max_abs_z	mean_f4	mean_z
A	356	328	85	243	30.1257204177941	-2.18721598234074	-7.86175675740614
A_cross	488	455	115	340	33.6900568535541	-1.83925356532707	-8.63070419468061
B	36	32	2	30	22.3601669863497	-3.82150019704199	-10.3840828778262
C_reverse	432	383	111	272	38.7580620004047	-0.00132557917565469	-7.2962837736987
C_route	976	866	515	351	34.6065800258982	-3.09241242165525	3.37709112662295
D_nae	36	33	7	26	26.9956640407348	-0.000576611249356154	-5.31257457139412
