pop1	pop2	pop3	pop4	f4	se	z	p	phase	description	usable
ITALY_T0	AFRICA_W_T0	IBERIA_T1	LEVANT_T3	-5.42917603393527e-05	4.57295816965997e-05	-1.18723500904863	0.235134935318806	C_reverse	f4(ITALY_T0, Africa; IBERIA_T1, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T0	0.000405222135116558	4.22254818914919e-05	9.59662547269133	8.2604634761411e-22	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T1	0.00024628299190122	4.29330732567499e-05	5.73643984040905	9.6687371090614e-09	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, EUROPE_NW_T1) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T2	0.000201589001358782	4.61619153576848e-05	4.36699820180278	1.25965764137275e-05	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, EUROPE_NW_T2) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T3	1.37829191438075e-05	4.28679159573465e-05	0.321520625297519	0.747815884597244	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, EUROPE_NW_T3) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T4	0.000183003530613141	4.53982599621436e-05	4.03106926930112	5.55236754048484e-05	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, EUROPE_NW_T4) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	GREECE_T0	0.000111496980865063	4.90439854753596e-05	2.27340783552513	0.0230016144003388	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, GREECE_T0) [Italy→Iberia?]	PARTIAL
ITALY_T0	AFRICA_W_T0	IBERIA_T2	GREECE_T1	6.61104504031639e-05	4.6323593982447e-05	1.42714424161939	0.153538322455075	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, GREECE_T1) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	GREECE_T2	-0.000150666570051464	4.78108158069184e-05	-3.15130724102102	0.00162541411006704	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, GREECE_T2) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	LEVANT_T0	0.000227603945475167	4.79099090909713e-05	4.75066535908036	2.02748419404681e-06	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, LEVANT_T0) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	LEVANT_T1	-0.000107048516213186	4.75486504172815e-05	-2.25134709973343	0.0243635618457927	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, LEVANT_T1) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	LEVANT_T2	-0.000114537212454155	4.44243991804096e-05	-2.57825011856692	0.00993020916235052	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, LEVANT_T2) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T2	LEVANT_T3	3.12884146932104e-05	4.39994985464982e-05	0.711108438205156	0.47701704139369	C_reverse	f4(ITALY_T0, Africa; IBERIA_T2, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T0	0.000190629871930204	3.94420695792696e-05	4.83316098682603	1.34382029436964e-06	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T1	3.17025741652415e-05	3.90018682815843e-05	0.81284757787387	0.416305453327777	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, EUROPE_NW_T1) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T2	-0.000202818505153144	4.49954501392568e-05	-4.50753364007781	6.55855348235223e-06	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, EUROPE_NW_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T3	-0.000804235579727735	6.89145602257153e-05	-11.6700386259976	1.81340892864123e-31	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, EUROPE_NW_T3) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T4	-0.000683833690065962	6.50162248175543e-05	-10.5178929103452	7.14536424226226e-26	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, EUROPE_NW_T4) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	GREECE_T0	-0.000669237915927923	6.61818050342339e-05	-10.1121133759006	4.88196195902401e-24	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, GREECE_T0) [Italy→Iberia?]	PARTIAL
ITALY_T1	AFRICA_W_T0	IBERIA_T0	GREECE_T1	-0.000505483498961899	5.27754716616708e-05	-9.57800059471599	9.89417057478158e-22	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, GREECE_T1) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	GREECE_T2	-0.000884929045323677	6.27544733479469e-05	-14.1014496355841	3.72047791710646e-45	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, GREECE_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	LEVANT_T0	-0.000300372741880494	4.82868252232001e-05	-6.22059413705617	4.95275802230013e-10	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, LEVANT_T0) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	LEVANT_T1	-0.000572808190673556	4.84593095178591e-05	-11.8203952217366	3.06240406355724e-32	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, LEVANT_T1) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	LEVANT_T2	-0.00084772097490761	6.05749086633945e-05	-13.9945894036467	1.68198269572952e-44	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, LEVANT_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T0	LEVANT_T3	-0.000701927321934099	6.01955409671783e-05	-11.6607860093296	2.02167416851189e-31	C_reverse	f4(ITALY_T1, Africa; IBERIA_T0, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T0	0.000313346040972132	3.43809663739418e-05	9.1139393106072	7.94437522802941e-20	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T1	0.00015441874320717	3.57742053554438e-05	4.31648283093649	1.58535005854008e-05	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, EUROPE_NW_T1) [Italy→Iberia?]	YES
