pop1	pop2	pop3	pop4	phase	description	usable	skip_reason
MAGHREB_T1	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T5	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T0, EUROPE_NW_T5) [cross-layer]	PARTIAL	n<2: EUROPE_NW_T5
MAGHREB_T1	AFRICA_W_T0	IBERIA_T2	BALKANS_T5	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T2, BALKANS_T5) [cross-layer]	PARTIAL	n<2: BALKANS_T5
MAGHREB_T1	AFRICA_W_T0	IBERIA_T2	ANATOLIA_T3	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T2, ANATOLIA_T3) [cross-layer]	PARTIAL	n<2: ANATOLIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T5	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T2, EUROPE_NW_T5) [cross-layer]	PARTIAL	n<2: EUROPE_NW_T5
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	LEVANT_T1	A	f4(MAGHREB_T1, Africa; IBERIA_T3, LEVANT_T1)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	LEVANT_T3	A	f4(MAGHREB_T1, Africa; IBERIA_T3, LEVANT_T3)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	ITALY_T3	A	f4(MAGHREB_T1, Africa; IBERIA_T3, ITALY_T3)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	ITALY_T1	A	f4(MAGHREB_T1, Africa; IBERIA_T3, ITALY_T1)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	SICILY_T3	A	f4(MAGHREB_T1, Africa; IBERIA_T3, SICILY_T3)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	SICILY_T1	A	f4(MAGHREB_T1, Africa; IBERIA_T3, SICILY_T1)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	SARDINIA_T1	A	f4(MAGHREB_T1, Africa; IBERIA_T3, SARDINIA_T1)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	GREECE_T1	A	f4(MAGHREB_T1, Africa; IBERIA_T3, GREECE_T1)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	BALKANS_T1	A	f4(MAGHREB_T1, Africa; IBERIA_T3, BALKANS_T1)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	MALTA_T1	A	f4(MAGHREB_T1, Africa; IBERIA_T3, MALTA_T1)	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	ANATOLIA_T3	A	f4(MAGHREB_T1, Africa; IBERIA_T3, ANATOLIA_T3)	PARTIAL	n<2: IBERIA_T3, ANATOLIA_T3
