custom_pop_label	n_samples	n_populations	populations
ANATOLIA_T3	1	1	Turkey_Epipaleolithic
BALKANS_T0	255	80	Albania_Barc_Medieval-o; Albania_Barc_PostMedieval; Albania_Barc_PostMedieval-oTurkish; Albania_Bardhoc_PostMedieval; Albania_Cinamak_IA; Albania_Dukat_Medieval; Albania_Kenete_Medieval; Albania_Medieval; Albania_Pazhok_PostMedieval; Albanian; Bulgaria_Koriyata_at_Suvorovo_Medieval; Bulgaria_LozyankaMogila_Roman_LateAntiquity; Bulgaria_Ryahovets_Medieval; Bulgaria_Samovodene_EarlyMedieval-oEastAsia; Bulgarian; Croatia_Dalmatia_ImperialRoman; Croatia_Dalmatia_ImperialRoman-oLevant; Croatia_Dalmatia_LateAntiquity_Roman; Croatia_Dalmatia_LateAntiquity_Roman-oCaucasus; Croatia_EIA; Croatia_EarlyMedieval; Croatia_EarlyMedieval-oAegean; Croatia_EarlyMedieval_Avar; Croatia_EarlyMedieval_Avar-oNorthEurope; Croatia_EarlyMedieval_EarlySlav; Croatia_EarlyMedieval_EarlySlav-oAegean; Croatia_ImperialRoman; Croatia_ImperialRoman-1; Croatia_ImperialRoman-3; Croatia_ImperialRoman-oAfrica; Croatia_ImperialRoman-oLevant; Croatia_ImperialRoman_Roman; Croatia_LateAntiquity; Croatia_LateAntiquity-oAegean; Croatia_LateAntiquity-oAfrica; Croatia_LateAntiquity-oEurope; Croatia_LateAntiquity_ImperialRoman; Croatia_LateAntiquity_ImperialRoman-oEurope; Croatia_LateAntiquity_ImperialRoman_Roman; Croatia_LateAntiquity_Roman-oNorthEurope; Croatia_Medieval; Croatia_Medieval_Modern; Croatia_Modern; Croatia_Roman_LateAntiquity; Croatia_Roman_LateAntiquity-o; Croatia_Roman_LateAntiquity-oAegean; Croatia_Roman_LateAntiquity-oEurope; Croatia_Roman_LateAntiquity-oLevant; Croatia_Roman_LateAntiquity-oNorthEurope; Croatia_VenetiaHistria_LateAntiquity_Roman; Montenegro_Dalmatia_ImperialRoman-oAegean; Montenegro_DocleaBjelovine_Roman; NorthMacedonia_Medieval; Romania_Brailita_Medieval; Romania_Hun; Romania_Hun-oEastAsia; Romania_Medieval; Serbia_EarlyMedieval_Byzantine_Slav; Serbia_Gepids; Serbia_ImperialRoman; Serbia_ImperialRoman-oAfrica; Serbia_ImperialRoman_African; Serbia_ImperialRoman_Elite_Roman; Serbia_ImperialRoman_Roman; Serbia_ImperialRoman_Roman-oLevant; Serbia_IronGates_ImperialRoman; Serbia_LateAntiquity_ImperialRoman; Serbia_LateAntiquity_ImperialRoman_Roman; Serbia_LateAntiquity_ImperialRoman_Roman_possible; Serbia_LateRoman; Serbia_Medieval; Serbia_Medieval_Byzantine_Slav; Serbia_MigrationPeriod_Gepids; Serbia_MigrationPeriod_Gepids-oAegean; Serbia_OttomanPeriod_Ottoman; Serbia_Roman; Serbia_Roman_LateAntiquity; Slovenia_VenetiaHistria_ImperialRoman; Slovenia_VenetiaHistria_LateAntiquity_ImperialRoman; Slovenia_VenetiaHistria_LateAntiquity_ImperialRoman-oEurope
BALKANS_T1	391	90	Albania_Cinamak_BA_IA; Albania_Cinamak_EBA; Albania_Cinamak_IA; Albania_Cinamak_IA-o; Albania_MBA; Bulgaria_BeliBreyag_EBA; Bulgaria_Boyanovo_EBA; Bulgaria_Boyanovo_EBA_Yamnaya; Bulgaria_Diamandovo_EIA; Bulgaria_Durankulak_C_ProtoYamnaya; Bulgaria_Dzhulyunitsa_EBA; Bulgaria_Dzhulyunitsa_EBA-1; Bulgaria_Dzhulyunitsa_IA; Bulgaria_EBA_Yamnaya; Bulgaria_GoljamataMogila_EBA_Yamnaya; Bulgaria_Kairyaka_EBA; Bulgaria_Kairyaka_EBA-2; Bulgaria_Kairyaka_MLBA; Bulgaria_KapitanAndreevo_EBA_MBA; Bulgaria_KapitanAndreevo_EIA; Bulgaria_Kazanlak_LIA; Bulgaria_LozyankaMogila_EBA_Ezero; Bulgaria_Mednikarovo_EBA_Yamnaya-o; Bulgaria_Mogila_EBA_Yamnaya; Bulgaria_NovaZagora_EBA; Bulgaria_Rozovo_LIA; Bulgaria_Sabrano_EBA_Ezero; Bulgaria_Smyadovo_EBA; Bulgaria_Stambolovo_EIA; Bulgaria_Svilengrad_EIA; Bulgaria_Svilengrad_EIA-o; Bulgaria_TellEzero_EBA; Bulgaria_TellKran_EBA; Bulgaria_Yunatsite_EBA; Croatia_BA; Croatia_C; Croatia_EIA; Croatia_LBA_EIA; Croatia_LIA; Croatia_LateC_EBA_Vucedol; Croatia_LateC_EBA_Vucedol-oSteppe; Croatia_MBA; Croatia_MBA_Cetina; Croatia_MBA_Cetina-Dup; Croatia_MBA_Cetina-o; Croatia_MLBA; Croatia_N_Starcevo; Croatia_Popova_CA; Croatia_Vucedol-o; Montenegro_IA; Montenegro_LBA; Montenegro_LN_Hvar; Montenegro_MLBA; Montenegro_MLBA-o; Montenegro_MLBA_Cetina; Montenegro_MLBA_Cetina-o; Montenegro_Mesolithic_LN_Hvar-oWHG; NorthMacedonia_BA; NorthMacedonia_Classical_Hellenistic; NorthMacedonia_Classical_Hellenistic-o; NorthMacedonia_IA; NorthMacedonia_N; Romania_BA1-1; Romania_BA_Arman; Romania_BA_Arman-o; Romania_Brailita_EBA_Yamnaya; Romania_C; Romania_C-oHG; Romania_C_Bodrogkeresztur; Romania_EBA_Catacomb; Romania_EBA_Gumelnita; Romania_EBA_Yamnaya; Romania_EBA_Yamnaya-oSouth; Romania_Eneolithic_LN_Gumelnita; Romania_Glavanesti_BA-1; Romania_IronGates_N; Romania_MLBA; Romania_Tei; Serbia_BA-o; Serbia_BA_Maros; Serbia_EBA_Maros; Serbia_EBA_Maros-oAegean; Serbia_EBA_Yamnaya; Serbia_IronGates_MBA; Serbia_LBA; Slovenia_EIA; Slovenia_LBA; Slovenia_LBA_EIA; Slovenia_MBA; Slovenia_MIA-oSouth
BALKANS_T2	384	74	Albania_N; Albania_N_C; Bulgaria_C; Bulgaria_Dzhulyunitsa_C; Bulgaria_Dzhulyunitsa_N; Bulgaria_Dzhulyunitsa_N-o; Bulgaria_Dzhulyunitsa_N-oEEF; Bulgaria_Ivanovo_C; Bulgaria_Krepost_N; Bulgaria_MalakPreslavets_N; Bulgaria_MalakPreslavets_N-oHighEEF; Bulgaria_MalakPreslavets_N-oLowEEF; Bulgaria_Ohoden_N; Bulgaria_PetkoKaravelovo_C; Bulgaria_Samovodene_N; Bulgaria_Smyadovo_C; Bulgaria_Smyadovo_C-oSteppe; Bulgaria_Sushina_C; Bulgaria_Sushina_C-o; Bulgaria_Varna_C; Bulgaria_Varna_C-2; Bulgaria_Varna_C-o; Bulgaria_Yabalkovo_N; Bulgaria_Yunatsite_C; Bulgaria_Yunatsite_C_Karanovo_Gumelnita; Croatia_C_Lasinja; Croatia_EN_Impressa; Croatia_EN_Starcevo; Croatia_MN; Croatia_MN_LaTene; Croatia_MN_Sopot; Croatia_MN_Starcevo; Croatia_Mesolithic_HG; Croatia_N_Cardial; Croatia_N_Lasinja; NorthMacedonia_N; NorthMacedonia_N-NotPermittedToPublish; Romania_BaciuGuraBaciului_EN_StarcevoCris; Romania_Brailita_Mesolithic; Romania_C_Bodrogkeresztur; Romania_C_Bodrogkeresztur-1; Romania_C_Gumelnita; Romania_EN; Romania_EN-Dup; Romania_EN-oIran; Romania_EN_Cris; Romania_EN_Starcevo; Romania_EN_StarcevoCris; Romania_EN_StarcevoKorosCris; Romania_Eneolithic-oEEF; Romania_Eneolithic_LN; Romania_Eneolithic_LN_Boian; Romania_IronGates_LateMesolithic; Romania_IronGates_Mesolithic; Romania_IronGates_Mesolithic-Dup; Romania_Mesolithic; Romania_N; Romania_N-o; Romania_N_Boian; Romania_N_Dudesti; Romania_villageDeceaMuresului_Eneolithic_LN_DeceaMuresului; Romania_villageIclod_Eneolithic_LN; Serbia_C_BA_Bodrogkeresztur_Tiszapolgar; Serbia_EMN; Serbia_EN; Serbia_EN_Starcevo; Serbia_EN_Starcevo-o; Serbia_IronGates_Mesolithic; Serbia_IronGates_Mesolithic-o; Serbia_IronGates_Mesolithic-oHighEEF; Serbia_IronGates_Mesolithic-oLowEEF; Serbia_IronGates_N; Serbia_IronGates_N-oHG; Serbia_MN_StarcevoCris
BALKANS_T4	6	3	Bulgaria_BachoKiroCave_IUP; Romania_IUP; Romania_UP
BALKANS_T5	1	1	VindijaCave_Neanderthal
CRETE_T0	2	1	Greek_Crete
CRETE_T1	65	7	Greece_Crete_Aposelemis_LBA; Greece_Crete_HgCharalambos_EMBA; Greece_Crete_KephalaPetrasSiteias; Greece_Crete_LBA; Greece_Crete_MoniOdigitria_BA; Greece_Crete_NecropolisofArmenoi_BA; Greece_Crete_Zakros_Karaviadaina_BA
CRETE_T2	5	1	Greece_Crete_Aposelemis_N
CYPRUS_T1	1	1	Cyprus_C
