sample_id	custom_pop_label	group_id	region	layer	qc
CGG_2_107463.SG	EUROPE_NORTH_T0	Denmark_Lillevasby_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107464.SG	EUROPE_NORTH_T1	Denmark_Lillevasby_LN	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107465.SG	EUROPE_NORTH_T1	Denmark_Lillevasby_LN	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107466.SG	EUROPE_NORTH_T1	Denmark_Lillevasby_LN	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107467.SG	EUROPE_NORTH_T0	Denmark_Almager_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107468.SG	EUROPE_NORTH_T0	Denmark_Baunehoj_LateRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107469.SG	EUROPE_NORTH_T1	Denmark_Borritshoved_EarlyRoman	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107470.SG	EUROPE_NORTH_T0	Denmark_Borritshoved_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107471.SG	EUROPE_NORTH_T1	Denmark_Bulbjerg_Roman	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107472.SG	EUROPE_NORTH_T0	Denmark_Bulbjerg_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107474.SG	EUROPE_NORTH_T0	Denmark_Bulbjerg_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107476.SG	EUROPE_NORTH_T0	Denmark_Bulbjerg_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107477.SG	EUROPE_NORTH_T0	Denmark_Bulbjerg_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107478.SG	EUROPE_NORTH_T0	Denmark_Bulbjerg_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107479.SG	EUROPE_NORTH_T0	Denmark_Glerup_Modern	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107480.SG	EUROPE_NORTH_T0	Denmark_Glerup_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107481.SG	EUROPE_NORTH_T0	Denmark_Hoby_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107482.SG	EUROPE_NORTH_T0	Denmark_Hvidovre_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107483.SG	EUROPE_NORTH_T0	Denmark_Hvidovre_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107484_rmContam.SG	EUROPE_NORTH_T0	Denmark_HorbySkov_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107485.SG	EUROPE_NORTH_T0	Denmark_Kildehus_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107486.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107487.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107488.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107489.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107490.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107492.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107494.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107495.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107496.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107497.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107498.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107499.SG	EUROPE_NORTH_T0	Denmark_MosedeFort_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107501.SG	EUROPE_NORTH_T0	Denmark_SkafterupMark_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107502.SG	EUROPE_NORTH_T0	Denmark_Stenlille_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107503.SG	EUROPE_NORTH_T0	Denmark_StoreGrandlose_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107504.SG	EUROPE_NORTH_T0	Denmark_ToksvaerdBy_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107505.SG	EUROPE_NORTH_T0	Denmark_Ubby_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107506.SG	EUROPE_NORTH_T0	Denmark_VesterEgesborg_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107507.SG	EUROPE_NORTH_T0	Denmark_VesterEgesborg_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107508.SG	EUROPE_NORTH_T0	Denmark_Haraldsted_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107509.SG	EUROPE_NORTH_T1	Denmark_Rislev_PreImperialRoman	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107510.SG	EUROPE_NORTH_T1	Denmark_Rislev_PreImperialRoman	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107512.SG	EUROPE_NORTH_T1	Denmark_TybjergMose_PreImperialRoman	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107515.SG	EUROPE_NORTH_T0	Denmark_Espe_IA_LateGermanic	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107516.SG	EUROPE_NORTH_T0	Denmark_Espe_IA_LateGermanic	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107517.SG	EUROPE_NORTH_T0	Denmark_Havnegard_IA	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107518.SG	EUROPE_NORTH_T0	Denmark_HundstrupMose_IA	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107519.SG	EUROPE_NORTH_T0	Denmark_Kyndby_IA_LateGermanic	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107522.SG	EUROPE_NORTH_T0	Denmark_Maglebjerghoj_IA_EarlyGermanic	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107523.SG	EUROPE_NORTH_T0	Denmark_MandemarkeBakker_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107524.SG	EUROPE_NORTH_T0	Denmark_Sandlyngmose_IA_Germanic	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107525.SG	EUROPE_NORTH_T1	Denmark_Tanderup_EBA	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107526.SG	EUROPE_NORTH_T2	Denmark_RudsVedby_EN	EUROPE_CONTROL	T2	PROVISIONAL_PASS
CGG_2_107528.SG	EUROPE_NORTH_T0	Denmark_Langdyssegard_PreImperialRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107529.SG	EUROPE_NORTH_T0	Denmark_Nymarksgaard_IA	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107531.SG	EUROPE_NORTH_T1	Denmark_GadevangMose_PreImperialRoman	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107532.SG	EUROPE_NORTH_T0	Denmark_Farevejlegard_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107533.SG	EUROPE_NORTH_T0	Denmark_Farevejlegard_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107534.SG	EUROPE_NORTH_T0	Denmark_EgedalMose_PreImperialRoman_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
