region	T0	T1	T2	T3	T4	T5	T6	UNDATED	TOTAL
IBERIA	348	543	46	2	7	0	0	0	946
MAGHREB	34	68	23	9	0	0	0	0	134
LEVANT	174	154	46	17	0	0	0	0	391
NORTH_AFRICA_EAST	67	4	0	0	0	0	0	0	71
EUROPE_CONTROL	5706	5407	2162	39	81	10	3	0	13408
WEST_AFRICA	492	3	5	0	0	0	0	0	500
EAST_AFRICA	231	43	7	4	0	0	0	0	285
OUTGROUP	4582	2247	501	9	9	0	0	0	7348
TOTAL	11634	8469	2790	80	97	10	3	0	23083
