sample_id	master_id	group_id	population	region	subregion	layer	role
HG02179.DG	HG02179	CDX	CDX	OUTGROUP	East_Asia	T0	OUTGROUP
HG00182.DG	HG00182	Finnish	Finnish	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
HG00183.DG	HG00183	Finnish	Finnish	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
NA21111.DG	NA21111	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA21112.DG	NA21112	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA10847.DG	NA10847	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA10851.DG	NA10851	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA20819.DG	NA20819	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20821.DG	NA20821	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
HG02923.DG	HG02923	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02938.DG	HG02938	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03708.DG	HG03708	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
HG03709.DG	HG03709	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
HG01767.DG	HG01767	IBS	IBS	IBERIA	Iberia	T0	TARGET
HG01768.DG	HG01768	IBS	IBS	IBERIA	Iberia	T0	TARGET
HG01997.DG	HG01997	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG02002.DG	HG02002	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG00372.DG	HG00372	FIN	FIN	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
HG00373.DG	HG00373	FIN	FIN	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
HG00106.DG	HG00106	Scottish	Scottish	EUROPE_CONTROL	British_Isles	T0	CONTROL
HG00107.DG	HG00107	GBR	GBR	EUROPE_CONTROL	British_Isles	T0	CONTROL
HG02798.DG	HG02798	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02799.DG	HG02799	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA12761.DG	NA12761	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA12762.DG	NA12762	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
HG03521.DG	HG03521	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03538.DG	HG03538	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03727.DG	HG03727	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03729.DG	HG03729	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
NA19729.DG	NA19729	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
NA19731.DG	NA19731	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
