sample_id	master_id	group_id	population	region	subregion	layer	role
NA20815.DG	NA20815	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20818.DG	NA20818	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
HG00739.DG	HG00739	PUR-oEurope	PUR-oEurope	OUTGROUP	Other	T0	OUTGROUP
HG00740.DG	HG00740	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
HG01067.DG	HG01067	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
HG01069.DG	HG01069	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
HG00717.DG	HG00717	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG00728.DG	HG00728	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG00458.DG	HG00458	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG00463.DG	HG00463	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG01853.DG	HG01853	KHV	KHV	OUTGROUP	SE_Asia	T0	OUTGROUP
HG01855.DG	HG01855	KHV	KHV	OUTGROUP	SE_Asia	T0	OUTGROUP
HG01486.DG	HG01486	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG01488.DG	HG01488	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG01083.DG	HG01083	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
HG01085.DG	HG01085	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
HG03234.DG	HG03234	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
HG03235.DG	HG03235	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
NA18573.DG	NA18573	CHB	CHB	OUTGROUP	East_Asia	T0	OUTGROUP
NA18574.DG	NA18574	CHB	CHB	OUTGROUP	East_Asia	T0	OUTGROUP
NA20532.DG	NA20532	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
