sample_id	master_id	group_id	population	region	subregion	country	latitude	longitude	date_mean_bp	date_sd_bp	snps_1240k	assessment	layer	role
HG02703.DG	HG02703	GWD	GWD	WEST_AFRICA	West_Africa	Gambia	13.453056	-16.5775	0	0	1101388	PASS	T0	OUTGROUP
NA18507.DG	NA18507	YRI	YRI	WEST_AFRICA	West_Africa	Nigeria	7.396389	3.916667	0	0	1101391	PASS	T0	OUTGROUP
NA18508.DG	NA18508	YRI	YRI	WEST_AFRICA	West_Africa	Nigeria	7.396389	3.916667	0	0	1101455	PASS	T0	OUTGROUP
HG00320.DG	HG00320	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101649	PASS	T0	CONTROL
HG00321.DG	HG00321	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101714	PASS	T0	CONTROL
NA21141.DG	NA21141	GIH	GIH	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101640	PASS	T0	OUTGROUP
NA21142.DG	NA21142	GIH	GIH	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101653	PASS	T0	OUTGROUP
HG03673.DG	HG03673	STU	STU	OUTGROUP	South_Asia	Sri Lanka			0	0	1101644	PASS	T0	OUTGROUP
HG03679.DG	HG03679	STU	STU	OUTGROUP	South_Asia	Sri Lanka			0	0	1101638	PASS	T0	OUTGROUP
HG04202.DG	HG04202	ITU	ITU	OUTGROUP	South_Asia	India			0	0	1101642	PASS	T0	OUTGROUP
HG04206.DG	HG04206	ITU	ITU	OUTGROUP	South_Asia	India			0	0	1101651	PASS	T0	OUTGROUP
NA18981.DG	NA18981	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101609	PASS	T0	OUTGROUP
NA18982.DG	NA18982	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101628	PASS	T0	OUTGROUP
NA19789.DG	NA19789	MXL	MXL	OUTGROUP	Americas	USA	34.05	-118.25	0	0	1101627	PASS	T0	OUTGROUP
NA19792.DG	NA19792	MXL	MXL	OUTGROUP	Americas	USA	34.05	-118.25	0	0	1101657	PASS	T0	OUTGROUP
HG02734.DG	HG02734	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101612	PASS	T0	OUTGROUP
HG02736.DG	HG02736	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101668	PASS	T0	OUTGROUP
HG02696.DG	HG02696	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101657	PASS	T0	OUTGROUP
HG02697.DG	HG02697	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101637	PASS	T0	OUTGROUP
HG02394.DG	HG02394	CDX	CDX	OUTGROUP	East_Asia	China	22.0	100.8	0	0	1101580	PASS	T0	OUTGROUP
HG02395.DG	HG02395	CDX	CDX	OUTGROUP	East_Asia	China	22.0	100.8	0	0	1101620	PASS	T0	OUTGROUP
HG00736.DG	HG00736	PUR	PUR	OUTGROUP	Other	Puerto Rico	18.406389	-66.063889	0	0	1101616	PASS	T0	OUTGROUP
HG00737.DG	HG00737	PUR	PUR	OUTGROUP	Other	Puerto Rico	18.406389	-66.063889	0	0	1101657	PASS	T0	OUTGROUP
HG03663.DG	HG03663	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101677	PASS	T0	OUTGROUP
HG03667.DG	HG03667	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101648	PASS	T0	OUTGROUP
NA18646.DG	NA18646	CHB	CHB	OUTGROUP	East_Asia	China	39.916667	116.383333	0	0	1101479	PASS	T0	OUTGROUP
NA18647.DG	NA18647	CHB	CHB	OUTGROUP	East_Asia	China	39.916667	116.383333	0	0	1101651	PASS	T0	OUTGROUP
HG02312.DG	HG02312	PEL	PEL	OUTGROUP	Americas	Peru	-12.06	-77.0375	0	0	1101663	PASS	T0	OUTGROUP
HG02314.DG	HG02314	ACB	ACB	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101446	PASS	T0	OUTGROUP
HG03055.DG	HG03055	MSL	MSL	WEST_AFRICA	West_Africa	Sierra Leone	7.875833	-11.190833	0	0	1101435	PASS	T0	OUTGROUP
HG03057.DG	HG03057	Mende	Mende	WEST_AFRICA	West_Africa	Sierra Leone	8.5	-13.2	0	0	1101439	PASS	T0	OUTGROUP
HG02282.DG	HG02282	ACB	ACB	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101484	PASS	T0	OUTGROUP
HG02283.DG	HG02283	ACB	ACB	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101451	PASS	T0	OUTGROUP
HG02496.DG	HG02496	ACB	ACB	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101438	PASS	T0	OUTGROUP
HG02497.DG	HG02497	ACB	ACB	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101439	PASS	T0	OUTGROUP
HG00382.DG	HG00382	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101666	PASS	T0	CONTROL
HG00383.DG	HG00383	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101661	PASS	T0	CONTROL
NA21109.DG	NA21109	GIH	GIH	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101628	PASS	T0	OUTGROUP
NA21110.DG	NA21110	GIH	GIH	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101662	PASS	T0	OUTGROUP
NA19471.DG	NA19471	LWK	LWK	EAST_AFRICA	East_Africa	Kenya	1.3	36.8	0	0	1101431	PASS	T0	OUTGROUP
NA19472.DG	NA19472	LWK	LWK	EAST_AFRICA	East_Africa	Kenya	1.3	36.8	0	0	1101459	PASS	T0	OUTGROUP
HG01623.DG	HG01623	Spanish	Spanish	IBERIA	Iberia	Spain	37.4	-6.0	0	0	1101666	PASS	T0	TARGET
HG01624.DG	HG01624	Spanish	Spanish	IBERIA	Iberia	Spain	37.4	-6.0	0	0	1101647	PASS	T0	TARGET
NA18993.DG	NA18993	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101632	PASS	T0	OUTGROUP
NA18994.DG	NA18994	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101636	PASS	T0	OUTGROUP
NA18909.DG	NA18909	YRI	YRI	WEST_AFRICA	West_Africa	Nigeria	7.396389	3.916667	0	0	1101398	PASS	T0	OUTGROUP
NA18910.DG	NA18910	YRI	YRI	WEST_AFRICA	West_Africa	Nigeria	7.396389	3.916667	0	0	1101404	PASS	T0	OUTGROUP
HG02737.DG	HG02737	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101633	PASS	T0	OUTGROUP
HG02756.DG	HG02756	GWD	GWD	WEST_AFRICA	West_Africa	Gambia	13.453056	-16.5775	0	0	1101410	PASS	T0	OUTGROUP
NA12749.DG	NA12749	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101664	PASS	T0	OUTGROUP
NA12750.DG	NA12750	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101691	PASS	T0	OUTGROUP
NA12005.DG	NA12005	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101632	PASS	T0	OUTGROUP
NA12006.DG	NA12006	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101660	PASS	T0	OUTGROUP
NA19098.DG	NA19098	YRI	YRI	WEST_AFRICA	West_Africa	Nigeria	7.396389	3.916667	0	0	1101435	PASS	T0	OUTGROUP
NA19099.DG	NA19099	YRI	YRI	WEST_AFRICA	West_Africa	Nigeria	7.396389	3.916667	0	0	1101457	PASS	T0	OUTGROUP
HG03163.DG	HG03163	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101393	PASS	T0	OUTGROUP
HG03166.DG	HG03166	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101415	PASS	T0	OUTGROUP
HG00281.DG	HG00281	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101660	PASS	T0	CONTROL
HG00282.DG	HG00282	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101680	PASS	T0	CONTROL
HG02597.DG	HG02597	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101661	PASS	T0	OUTGROUP
HG02600.DG	HG02600	Punjabi	Punjabi	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101642	PASS	T0	OUTGROUP
NA12873.DG	NA12873	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101694	PASS	T0	OUTGROUP
NA12874.DG	NA12874	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101649	PASS	T0	OUTGROUP
NA20811.DG	NA20811	TSI	TSI	EUROPE_CONTROL	Southern_Europe	Italy	40.00001	9.0	0	0	1101665	PASS	T0	CONTROL
NA20812.DG	NA20812	TSI	TSI	EUROPE_CONTROL	Southern_Europe	Italy	40.00001	9.0	0	0	1101675	PASS	T0	CONTROL
HG01148.DG	HG01148	CLM	CLM	OUTGROUP	Americas	Colombia	6.230833	-75.590556	0	0	1101580	PASS	T0	OUTGROUP
HG01149.DG	HG01149	CLM	CLM	OUTGROUP	Americas	Colombia	6.230833	-75.590556	0	0	1101628	PASS	T0	OUTGROUP
NA20864.DG	NA20864	GIH	GIH	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101683	PASS	T0	OUTGROUP
NA20866.DG	NA20866	GujaratiC	GujaratiC	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101632	PASS	T0	OUTGROUP
HG01250.DG	HG01250	CLM	CLM	OUTGROUP	Americas	Colombia	6.230833	-75.590556	0	0	1101643	PASS	T0	OUTGROUP
