sample_id	master_id	group_id	population	region	subregion	country	latitude	longitude	date_mean_bp	date_sd_bp	snps_1240k	assessment	layer	role
Loschbour.AG	Loschbour	Luxembourg_Loschbour_Mesolithic	Luxembourg_Loschbour_Mesolithic	EUROPE_CONTROL	NW_Europe	Luxembourg	49.81	6.4	8025	64	463455	PASS	T2	CONTROL
Kou01.SG	Kou01	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	Greece	36.937529	25.60652	4250	173	1033440	PASS	T1	CONTROL
Kou03.SG	Kou03	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	Greece	36.937529	25.60652	4250	173	1072759	PASS	T1	CONTROL
Log02.SG	Log02	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	Greece	39.980392	21.823641	4250	173	1141145	PASS	T1	CONTROL
Log04.SG	Log04	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	Greece	39.980392	21.823641	4250	173	1138096	PASS	T1	CONTROL
Mik15.SG	Mik15	Greece_Manika_EBA	Greece_Manika_EBA	EUROPE_CONTROL	Southern_Europe	Greece	38.498226	23.626147	4250	173	1076504	PASS	T1	CONTROL
Pta08.SG	Pta08	Greece_Crete_KephalaPetrasSiteias	Greece_Crete_KephalaPetrasSiteias	EUROPE_CONTROL	Southern_Europe	Greece	35.197343	26.11498	4250	173	1128313	PASS	T1	CONTROL
cay004.SG	cay004	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8396	58	83724	PASS	T2	OUTGROUP
cay008.SG	cay008	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8541	139	93395	PASS	T2	OUTGROUP
cay011.SG	cay011	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8369	40	23943	PASS	T2	OUTGROUP
cay012.SG	cay012	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	25796	PASS	T2	OUTGROUP
cay013.SG	cay013	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8600	260	155759	PASS	T2	OUTGROUP
cay014.SG	cay014	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8908	257	17719	PASS	T2	OUTGROUP
cay015.SG	cay015	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	13799	PASS	T2	OUTGROUP
cay016.SG	cay016	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10550	173	44979	PASS	T2	OUTGROUP
cay1820.SG	cay1820	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	15198	PASS	T2	OUTGROUP
cay022.SG	cay022	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	7303	88	15946	PASS	T2	OUTGROUP
cay027.SG	cay027	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8400	87	23407	PASS	T2	OUTGROUP
cay033.SG	cay033	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	32036	PASS	T2	OUTGROUP
AV1.AG	AV1	Hungary_Avar-5	Hungary_Avar-5	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1360	25	825101	PASS	T0	CONTROL
AV2.AG	AV2	Hungary_Avar-5	Hungary_Avar-5	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1348	24	793248	PASS	T0	CONTROL
CL102.AG	CL102	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	423599	PASS	T0	CONTROL
CL110.AG	CL110	Italy_Piedmont_North_EarlyMedieval_Lombards-4	Italy_Piedmont_North_EarlyMedieval_Lombards-4	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	24319	PASS	T0	CONTROL
CL121.AG	CL121	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	868719	PASS	T0	CONTROL
CL145.AG	CL145	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	838147	PASS	T0	CONTROL
CL146.AG	CL146	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	849289	PASS	T0	CONTROL
CL151.AG	CL151	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	744519	PASS	T0	CONTROL
CL23.AG	CL23	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	865420	PASS	T0	CONTROL
CL25.AG	CL25	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	707033	PASS	T0	CONTROL
CL30.AG	CL30	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	842607	PASS	T0	CONTROL
CL31.AG	CL31	Italy_Piedmont_North_EarlyMedieval_Lombards	Italy_Piedmont_North_EarlyMedieval_Lombards	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	816869	CRITICAL	T0	CONTROL
CL36.AG	CL36	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	696293	PASS	T0	CONTROL
CL38.AG	CL38	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	770189	PASS	T0	CONTROL
CL47.AG	CL47	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	794036	PASS	T0	CONTROL
CL49.AG	CL49	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	315573	QUESTIONABLE	T0	CONTROL
CL53.AG	CL53	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	336670	PASS	T0	CONTROL
CL57.AG	CL57	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	792075	PASS	T0	CONTROL
CL63.AG	CL63	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	856827	PASS	T0	CONTROL
CL83.AG	CL83	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	716339	PASS	T0	CONTROL
CL84.AG	CL84	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	823647	PASS	T0	CONTROL
CL87.AG	CL87	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	879568	PASS	T0	CONTROL
CL92.AG	CL92	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	763872	PASS	T0	CONTROL
CL93.AG	CL93	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	795244	PASS	T0	CONTROL
CL94.AG	CL94	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	878236	PASS	T0	CONTROL
CL97.AG	CL97	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	Italy	45.0792	7.5783	1350	29	94344	PASS	T0	CONTROL
SZ12.AG	SZ12	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	535929	PASS	T0	CONTROL
SZ13.AG	SZ13	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1462	37	832283	PASS	T0	CONTROL
SZ14.AG	SZ14	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	371528	PASS	T0	CONTROL
SZ16.AG	SZ16	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	663351	PASS	T0	CONTROL
SZ18.AG	SZ18	Hungary_Lombards-2	Hungary_Lombards-2	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	734160	PASS	T0	CONTROL
SZ19.AG	SZ19	Hungary_Lombards-1	Hungary_Lombards-1	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1456	39	776928	PASS	T0	CONTROL
SZ20.AG	SZ20	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	11467	PASS	T0	CONTROL
SZ22.AG	SZ22	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	707936	PASS	T0	CONTROL
SZ23.AG	SZ23	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	729220	PASS	T0	CONTROL
SZ24.AG	SZ24	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	458529	QUESTIONABLE	T0	CONTROL
SZ25.AG	SZ25	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	367837	PASS	T0	CONTROL
SZ27.AG	SZ27	Hungary_Lombards-2	Hungary_Lombards-2	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1467	37	890299	PASS	T0	CONTROL
SZ28.AG	SZ28	Hungary_Lombards-2	Hungary_Lombards-2	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	780105	PASS	T0	CONTROL
SZ30.AG	SZ30	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	471468	PASS	T0	CONTROL
SZ31.AG	SZ31	Hungary_Lombards-1	Hungary_Lombards-1	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	127162	PASS	T0	CONTROL
SZ32.AG	SZ32	Hungary_Lombards-1	Hungary_Lombards-1	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	797618	PASS	T0	CONTROL
SZ35.AG	SZ35	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	7125	PASS	T0	CONTROL
SZ37.AG	SZ37	Hungary_Lombards-1	Hungary_Lombards-1	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1430	46	501182	PASS	T0	CONTROL
SZ38.AG	SZ38	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	747516	PASS	T0	CONTROL
SZ40.AG	SZ40	Hungary_Lombards-1	Hungary_Lombards-1	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	747468	PASS	T0	CONTROL
SZ41.AG	SZ41	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	215693	PASS	T0	CONTROL
SZ42.AG	SZ42	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	847341	PASS	T0	CONTROL
SZ6.AG	SZ6	Hungary_Lombards-2	Hungary_Lombards-2	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	56632	PASS	T0	CONTROL
SZ7.AG	SZ7	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	759609	PASS	T0	CONTROL
SZ8.AG	SZ8	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	210528	PASS	T0	CONTROL
SZ9.AG	SZ9	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	832068	PASS	T0	CONTROL
SZ11.SG	SZ11	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	1149833	PASS	T0	CONTROL
SZ15.SG	SZ15	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	1149883	PASS	T0	CONTROL
SZ1.SG	SZ1	Hungary_BA	Hungary_BA	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	3850	635	1149848	PASS	T1	CONTROL
SZ2.SG	SZ2	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	1148219	PASS	T0	CONTROL
SZ36.SG	SZ36	Hungary_Lombards-1	Hungary_Lombards-1	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	1147176	PASS	T0	CONTROL
SZ3.SG	SZ3	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	1149980	PASS	T0	CONTROL
SZ43.SG	SZ43	Hungary_Lombards-1	Hungary_Lombards-1	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1393	35	1149969	PASS	T0	CONTROL
SZ45.SG	SZ45	Hungary_Lombards-2	Hungary_Lombards-2	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	1150009	PASS	T0	CONTROL
SZ4.SG	SZ4	Hungary_Lombards	Hungary_Lombards	EUROPE_CONTROL	Central_Europe	Hungary	46.2833333	17.85	1425	72	1149913	PASS	T0	CONTROL
JK2134.AG	JK2134	Egypt_AbusirelMeleq_ThirdIntermediatePeriod	Egypt_AbusirelMeleq_ThirdIntermediatePeriod	NORTH_AFRICA_EAST	Egypt	Egypt	29.9	31.2	2609	72	135011	CRITICAL	T1	TARGET
JK2888.AG	JK2888	Egypt_AbusirelMeleq_Ptolemaic	Egypt_AbusirelMeleq_Ptolemaic	NORTH_AFRICA_EAST	Egypt	Egypt	29.9	31.2	1997	43	207380	CRITICAL	T0	TARGET
JK2911.AG	JK2911	Egypt_AbusirelMeleq_ThirdIntermediatePeriod	Egypt_AbusirelMeleq_ThirdIntermediatePeriod	NORTH_AFRICA_EAST	Egypt	Egypt	29.9	31.2	2602	70	520709	PASS	T1	TARGET
I1902.AG	I1902	Hungary_LN_Lengyel	Hungary_LN_Lengyel	EUROPE_CONTROL	Central_Europe	Hungary	47.01938	17.96243	6550	173	173832	PASS	T2	CONTROL
I0577.AG	I0577	Russia_Tuva_IA_AldyBel	Russia_Tuva_IA_AldyBel	EUROPE_CONTROL	Eastern_Europe	Russia	52.096067	93.711133	2750	58	797036	PASS	T1	CONTROL
I1454.AG	I1454	Ukraine_Cherkasy_Eneolithic_SeredniiStih	Ukraine_Cherkasy_Eneolithic_SeredniiStih	EUROPE_CONTROL	Eastern_Europe	Ukraine	49.144726	32.47167	5650	58	5488	PASS	T1	CONTROL
I1594.AG	I1594	Germany_BlatterhohleCave_MN	Germany_BlatterhohleCave_MN	EUROPE_CONTROL	Central_Europe	Germany	51.358333	7.551111	5140	96	110791	PASS	T1	CONTROL
I1717.AG	I1717	Russia_Adygea_EN_ProtoMaikop	Russia_Adygea_EN_ProtoMaikop	EUROPE_CONTROL	Eastern_Europe	Russia	44.25056667	40.21921667	6450	58	746167	PASS	T2	CONTROL
I1752.AG	I1752	Chile_Conchali_700BP	Chile_Conchali_700BP	OUTGROUP	Americas	Chile	-33.366667	-70.666667	595	32	786020	PASS	T0	OUTGROUP
I1753.AG	I1753	Chile_LosRieles_5100BP	Chile_LosRieles_5100BP	OUTGROUP	Americas	Chile	-31.92	-71.5	5095	124	805391	PASS	T1	OUTGROUP
I1754.AG	I1754	Chile_Conchali_700BP	Chile_Conchali_700BP	OUTGROUP	Americas	Chile	-33.366667	-70.666667	825	49	842552	PASS	T0	OUTGROUP
I1763.AG	I1763	Ukraine_Zaporizhia_EN	Ukraine_Zaporizhia_EN	EUROPE_CONTROL	Eastern_Europe	Ukraine	47.434167	35.276389	10081	99	828040	PASS	T2	CONTROL
I1767.AG	I1767	England_BellBeaker-ohighEEF	England_BellBeaker-ohighEEF	EUROPE_CONTROL	British_Isles	United Kingdom	54.522812	-1.308134	4045	58	728709	PASS	T1	CONTROL
I1770.AG	I1770	England_BellBeaker	England_BellBeaker	EUROPE_CONTROL	British_Isles	United Kingdom	54.201949	-0.434355	3950	231	495188	PASS	T1	CONTROL
I1774.AG	I1774	England_EBA_C	England_EBA_C	EUROPE_CONTROL	British_Isles	United Kingdom	51.423287	0.738864	3698	69	100320	PASS	T1	CONTROL
I1775.AG	I1775	Wales_EBA_C	Wales_EBA_C	EUROPE_CONTROL	British_Isles	United Kingdom	53.33	-3.84	3563	50	416409	PASS	T1	CONTROL
I1784.AG	I1784	Turkmenistan_BA1-1	Turkmenistan_BA1-1	OUTGROUP	Central_Asia	Turkmenistan	38.21228	62.03443	4060	56	661408	PASS	T1	OUTGROUP
Ukraine_HG1.AG	Ukraine_HG1	Ukraine_Mesolithic	Ukraine_Mesolithic	EUROPE_CONTROL	Eastern_Europe	Ukraine	47.434168	35.276389	10658	94	811106	PASS	T2	CONTROL
I1821.AG	I1821	Russia_KrasnoyarskKrai_MLBA	Russia_KrasnoyarskKrai_MLBA	EUROPE_CONTROL	Eastern_Europe	Russia	53.873133	91.460467	3490	33	425171	PASS	T1	CONTROL
I1828.AG	I1828	Russia_KrasnoyarskKrai_MLBA_Andronovo	Russia_KrasnoyarskKrai_MLBA_Andronovo	EUROPE_CONTROL	Eastern_Europe	Russia	54.17931667	91.57886667	3484	33	131460	PASS	T1	CONTROL
I1829.AG	I1829	Russia_Altai_Afanasievo	Russia_Altai_Afanasievo	EUROPE_CONTROL	Eastern_Europe	Russia	50.5542389	86.5901361	4879	35	302527	PASS	T1	CONTROL
I1836.AG	I1836	Spain_MBA	Spain_MBA	IBERIA	Iberia	Spain	41.223	1.77416	3527	45	294103	QUESTIONABLE	T1	TARGET
I1838.AG	I1838	Spain_C	Spain_C	IBERIA	Iberia	Spain	42.63	-2.7	5126	108	839950	PASS	T1	TARGET
I1840.AG	I1840	Spain_MBA	Spain_MBA	IBERIA	Iberia	Spain	42.5731538	-2.621938	3475	42	666259	PASS	T1	TARGET
I1843.AG	I1843	Spain_C	Spain_C	IBERIA	Iberia	Spain	42.569508	-2.566083	4904	38	654483	PASS	T1	TARGET
I1851.AG	I1851	Russia_KrasnoyarskKrai_MLBA_Andronovo	Russia_KrasnoyarskKrai_MLBA_Andronovo	EUROPE_CONTROL	Eastern_Europe	Russia	54.17931667	91.57886667	3463	30	410799	PASS	T1	CONTROL
I1852.AG	I1852	Russia_KrasnoyarskKrai_MLBA_Andronovo	Russia_KrasnoyarskKrai_MLBA_Andronovo	EUROPE_CONTROL	Eastern_Europe	Russia	54.17931667	91.57886667	3512	31	337632	PASS	T1	CONTROL
I1853.AG	I1853	Russia_KrasnoyarskKrai_MLBA	Russia_KrasnoyarskKrai_MLBA	EUROPE_CONTROL	Eastern_Europe	Russia	53.873133	91.460467	3484	33	122234	QUESTIONABLE	T1	CONTROL
I1856.AG	I1856	Russia_KrasnoyarskKrai_MLBA	Russia_KrasnoyarskKrai_MLBA	EUROPE_CONTROL	Eastern_Europe	Russia	53.873133	91.460467	3540	42	716314	PASS	T1	CONTROL
I1863.AG	I1863	Mexico_2750BP	Mexico_2750BP	OUTGROUP	Americas	Mexico	25.42	-100.96	2750	115	91525	QUESTIONABLE	T1	OUTGROUP
I1864.AG	I1864	Mexico_950BP	Mexico_950BP	OUTGROUP	Americas	Mexico	25.42	-100.96	942	24	501416	PASS	T0	OUTGROUP
I1867.AG	I1867	Mexico_700BP	Mexico_700BP	OUTGROUP	Americas	Mexico	25.421	-100.961	682	13	101871	QUESTIONABLE	T0	OUTGROUP
I1887.AG	I1887	Hungary_MN_Vinca	Hungary_MN_Vinca	EUROPE_CONTROL	Central_Europe	Hungary	45.5853	18.30771	7150	115	385309	PASS	T2	CONTROL
I1889.AG	I1889	Hungary_MN_Vinca	Hungary_MN_Vinca	EUROPE_CONTROL	Central_Europe	Hungary	46.0526762	18.2659314	6943	71	399142	PASS	T2	CONTROL
I1890.AG	I1890	Hungary_LN_Sopot	Hungary_LN_Sopot	EUROPE_CONTROL	Central_Europe	Hungary	46.41594	18.91974	6875	101	103415	PASS	T2	CONTROL
I1891.AG	I1891	Hungary_LN_Sopot	Hungary_LN_Sopot	EUROPE_CONTROL	Central_Europe	Hungary	46.41594	18.91974	6913	72	422002	PASS	T2	CONTROL
I1892.AG	I1892	Hungary_Avar-2	Hungary_Avar-2	EUROPE_CONTROL	Central_Europe	Hungary	47.48641	18.66366	1404	45	599616	PASS	T0	CONTROL
I1894.AG	I1894	Hungary_MN_Vinca	Hungary_MN_Vinca	EUROPE_CONTROL	Central_Europe	Hungary	45.5853	18.30771	7150	115	16149	PASS	T2	CONTROL
I1896.AG	I1896	Hungary_MN_Vinca	Hungary_MN_Vinca	EUROPE_CONTROL	Central_Europe	Hungary	46.0526762	18.2659314	7190	59	249796	PASS	T2	CONTROL
I1899.AG	I1899	Hungary_LN_Lengyel	Hungary_LN_Lengyel	EUROPE_CONTROL	Central_Europe	Hungary	47.102645	17.912987	6550	173	326793	PASS	T2	CONTROL
I1900.AG	I1900	Hungary_LN_Lengyel	Hungary_LN_Lengyel	EUROPE_CONTROL	Central_Europe	Hungary	47.102645	17.912987	6686	38	62214	PASS	T2	CONTROL
I1901.AG	I1901	Hungary_LN_Lengyel	Hungary_LN_Lengyel	EUROPE_CONTROL	Central_Europe	Hungary	47.102645	17.912987	6550	173	494679	PASS	T2	CONTROL
I1903.AG	I1903	Hungary_LN_Lengyel	Hungary_LN_Lengyel	EUROPE_CONTROL	Central_Europe	Hungary	46.20487	18.7004	6550	173	592275	PASS	T2	CONTROL
I1906.AG	I1906	Hungary_LN_Lengyel	Hungary_LN_Lengyel	EUROPE_CONTROL	Central_Europe	Hungary	47.51062	18.61693	6550	173	453909	PASS	T2	CONTROL
I1908.AG	I1908	Hungary_C_Balaton_Lasinja	Hungary_C_Balaton_Lasinja	EUROPE_CONTROL	Central_Europe	Hungary	46.70991	17.23935	6050	115	554972	PASS	T2	CONTROL
I1909.AG	I1909	Hungary_C_Balaton_Lasinja	Hungary_C_Balaton_Lasinja	EUROPE_CONTROL	Central_Europe	Hungary	45.993	18.58127	6086	59	500936	PASS	T2	CONTROL
I1929.AG	I1929	Ukraine_Ternopil_Eneolithic_Trypillia	Ukraine_Ternopil_Eneolithic_Trypillia	EUROPE_CONTROL	Eastern_Europe	Ukraine	48.7889	25.8715	5650	115	27233	QUESTIONABLE	T1	CONTROL
I1934.AG	I1934	Israel_MLBA	Israel_MLBA	LEVANT	Levant	Israel	32.6606	35.2341	3200	87	33006	PASS	T1	TARGET
I1955.AG	I1955	Iran_GanjDareh_Historic	Iran_GanjDareh_Historic	OUTGROUP	Iran	Iran	34.45	48.116	389	47	795647	PASS	T0	OUTGROUP
I1958.AG	I1958	Russia_Tyumen_EN_Mesolithic	Russia_Tyumen_EN_Mesolithic	EUROPE_CONTROL	Eastern_Europe	Russia	56.036222	69.338861	6606	44	33101	PASS	T2	CONTROL
I1959.AG	I1959	Russia_Omsk_N	Russia_Omsk_N	EUROPE_CONTROL	Eastern_Europe	Russia	54.97	73.34	7440	54	836193	PASS	T2	CONTROL
I1960.AG	I1960	Russia_Tyumen_EN_Mesolithic	Russia_Tyumen_EN_Mesolithic	EUROPE_CONTROL	Eastern_Europe	Russia	56.0362222	69.3388611	8110	52	817292	PASS	T2	CONTROL
I1965.AG	I1965	Russia_AltaiKrai_N	Russia_AltaiKrai_N	EUROPE_CONTROL	Eastern_Europe	Russia	52.163893	85.960425	5846	64	831576	PASS	T1	CONTROL
I1972.AG	I1972	Spain_EN	Spain_EN	IBERIA	Iberia	Spain	42.6282	-3.11649	6703	36	376549	PASS	T2	TARGET
I1975.AG	I1975	Spain_C	Spain_C	IBERIA	Iberia	Spain	42.567556	-2.55352	4927	59	108584	PASS	T1	TARGET
I0166.AG	I0166	Germany_HalberstadtSonntagsfeld_N	Germany_HalberstadtSonntagsfeld_N	EUROPE_CONTROL	Central_Europe	Germany	51.895833	11.046667	6400	87	120415	PASS	T2	CONTROL
I2014.AG	I2014	Germany_HalberstadtSonntagsfeld_EN_LBK	Germany_HalberstadtSonntagsfeld_EN_LBK	EUROPE_CONTROL	Central_Europe	Germany	51.895833	11.046667	6946	67	19763	PASS	T2	CONTROL
I2020.AG	I2020	Germany_HalberstadtSonntagsfeld_EN_LBK	Germany_HalberstadtSonntagsfeld_EN_LBK	EUROPE_CONTROL	Central_Europe	Germany	51.895833	11.046667	7125	188	66478	PASS	T2	CONTROL
I2022.AG	I2022	Germany_HalberstadtSonntagsfeld_EN_LBK	Germany_HalberstadtSonntagsfeld_EN_LBK	EUROPE_CONTROL	Central_Europe	Germany	51.895833	11.046667	7125	188	21603	PASS	T2	CONTROL
I2177.AG	I2177	Bulgaria_Smyadovo_EBA	Bulgaria_Smyadovo_EBA	EUROPE_CONTROL	Balkans	Bulgaria	43.057778	26.983611	5150	115	35906	PASS	T1	CONTROL
I2403.AG	I2403	Poland_GlobularAmphora	Poland_GlobularAmphora	EUROPE_CONTROL	Central_Europe	Poland	52.849791	17.879081	4667	87	295619	PASS	T1	CONTROL
